City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
234,Kahului,US,75.85,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
236,Jiblah,YE,68.16,light rain,13.9216,44.1467,Tiger Tower Hotel
237,Boyolangu,ID,76.05,light rain,-8.1181,111.8935,Yos ega cv
238,Saurimo,AO,71.65,broken clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
239,Road Town,VG,86.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
240,Sembabule,UG,65.86,scattered clouds,-0.0772,31.4567,Rainbow Motel ( Sembabule )
243,Camacha,PT,69.22,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
244,Vao,NC,75.4,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
245,Bambous Virieux,MU,74.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
246,Barguzin,RU,61.03,broken clouds,53.6167,109.6167,"Gostevoy Dom S.barguzin ""Vizit"""
247,Kavieng,PG,81.18,light rain,-2.5744,150.7967,Nusa Island Retreat
249,San Cristobal,VE,82.58,broken clouds,7.7669,-72.225,Pirineos
250,Wakema,MM,80.96,overcast clouds,16.6,95.1833,Aung Kaday Hotel
252,Kota Bahru,MY,80.55,few clouds,6.1333,102.2386,Grand Riverview Hotel
253,Kaeng Khoi,TH,84.11,overcast clouds,14.5862,100.9976,ปานปั้นเพลส / PaanPuanPlace
254,Tamayo,DO,89.31,broken clouds,18.3947,-71.2029,La perla Del Caribe
255,El Carmen,CO,80.11,broken clouds,8.5106,-73.4478,Hotel La Casona
257,Tremedal,BR,84.15,clear sky,-14.9758,-41.4108,Pousada Estillos
258,Boende,CD,76.41,light rain,-0.2167,20.8667,
260,Mandalgovi,MN,66.02,broken clouds,45.7625,106.2708,В.Ганбат
264,Tual,ID,82.06,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
265,Along,IN,71.35,overcast clouds,28.1667,94.7667,Hotel West
267,Bargarh,IN,85.06,broken clouds,21.3333,83.6167,HOTEL VD PALACE
269,Canon City,US,89.4,clear sky,38.441,-105.2424,Travel Inn Motel
271,Dumas,US,88.61,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
272,Buala,SB,78.71,light rain,-8.145,159.5921,Maringe Lagoon Lodge
273,Kamiichi,JP,68.77,overcast clouds,36.7,137.3667,つるぎ 恋月
275,Bengkulu,ID,76.77,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
276,Cheyenne,US,81.77,clear sky,41.14,-104.8203,The Historic Plains Hotel & Restaurant
277,Krasnoselkup,RU,62.76,moderate rain,65.7,82.4667,Krasnosel'kupnefteprodukt
279,Juneau,US,66.85,clear sky,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
280,Aviles,ES,80.38,clear sky,43.5547,-5.9248,"Palacio de Avilés, Affiliated by Meliá"
282,Tucuma,BR,87.13,few clouds,-0.1833,-50.05,
283,Bairiki,KI,80.6,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
286,Miyako,JP,61.66,few clouds,39.6367,141.9525,Hotel Route Inn Miyako
287,Moerai,PF,75.34,broken clouds,-22.4333,-151.3333,Le Manotel
288,Lorengau,PG,81.7,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
291,Adra,ES,88.57,few clouds,36.7496,-3.0206,Hostal Zapata
296,Ecatepec,MX,67.51,broken clouds,19.6011,-99.0525,Hotel Ecatepec
299,Turka,UA,65.03,broken clouds,49.1541,23.0297,Мотель
301,Ajuchitlan,MX,69.03,overcast clouds,20.7167,-100.0167,Cuartos En Renta
302,Tomatlan,MX,83.44,overcast clouds,19.9333,-105.25,El Salvial
303,Nador,MA,86.07,few clouds,35.174,-2.9287,Hôtel La Giralda
304,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
306,Magadi,IN,77.45,overcast clouds,12.9667,77.2333,Gobi centre
308,Banjar,ID,77.68,scattered clouds,-8.19,114.9675,The Hamsa Resort
310,Pierre,US,73.85,clear sky,44.3683,-100.351,Ramkota Hotel
311,Misratah,LY,78.62,clear sky,32.3754,15.0925,Almasa Hotel
314,Umri,IN,87.46,scattered clouds,26.5106,78.9367,Dhruv Kushwah ji
315,Ciro Marina,IT,79.47,clear sky,39.3732,17.126,Hotel Miramare
317,Kismayo,SO,78.39,light rain,-0.3582,42.5454,Agan-Hotel
318,Baykit,RU,61.63,broken clouds,61.67,96.37,
319,Kloulklubed,PW,82.85,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
329,Kavaratti,IN,83.48,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
330,Poum,NC,78.15,overcast clouds,-20.2333,164.0167,
331,Candido Mendes,BR,89.4,broken clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
332,Presque Isle,US,78.3,broken clouds,46.6811,-68.0159,Hampton Inn Presque Isle
333,Impfondo,CG,78.39,light rain,1.6381,18.0667,Auberge La Place de Jules
334,Markova,UA,65.79,broken clouds,48.6758,24.4138,Vas.VOM
335,West Odessa,US,88.41,clear sky,31.8424,-102.4988,Corporate Mobile Housing
337,Carauari,BR,77.88,overcast clouds,-4.8828,-66.8958,Hotel Fellip
338,Namatanai,PG,77.63,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
339,High Level,CA,66.31,few clouds,58.5169,-117.136,Days Inn by Wyndham High Level
341,Quelimane,MZ,75.15,few clouds,-17.8786,36.8883,Hotel Flamingo
343,Touros,BR,83.75,few clouds,-5.1989,-35.4608,INN NEW HORIZON
344,Voyvozh,RU,62.49,overcast clouds,62.892,54.9635,Gostinitsa Yakor'
345,Lompoc,US,74.84,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
347,Tarakan,ID,76.5,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
348,Ashqelon,IL,80.82,clear sky,31.6693,34.5715,Leonardo Ashkelon
350,Namibe,AO,67.01,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
351,Liverpool,GB,78.51,clear sky,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
353,Aleksandrov Gay,RU,73.74,scattered clouds,50.147,48.5704,Gostinitsa
354,Maldonado,UY,63.79,overcast clouds,-34.6667,-54.9167,La Cimarrona
355,Kisangani,CD,78.04,scattered clouds,0.5167,25.2,Grand Ramela Hotel
356,Makakilo City,US,75.18,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
357,Karaton,ID,73.72,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
359,Ebolowa,CM,70.92,moderate rain,2.9,11.15,Florence Hotel Ebolowa
360,Lagoa,PT,66.61,clear sky,39.05,-27.9833,Casa Das Faias
361,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
362,Jurado,CO,82.81,light rain,7.1053,-77.7641,
363,Guerrero Negro,MX,72.79,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
365,Antofagasta,CL,60.08,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
366,Bergen,NO,63.16,broken clouds,60.392,5.328,Clarion Collection Hotel Havnekontoret
368,Carutapera,BR,87.85,broken clouds,-1.195,-46.02,Lidera
369,Druzhba,UA,60.42,light rain,52.0428,33.9453,
371,Sorong,ID,78.89,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
372,Arlit,NE,81.72,light rain,18.7369,7.3853,Case de Passage De la Prefecture
374,Caxias,PT,79.47,few clouds,38.7031,-9.2767,Amazónia Jamor Hotel
377,Arosa,CH,64.92,broken clouds,46.7779,9.6762,Tschuggen Grand Hotel
378,Champua,IN,83.93,overcast clouds,22.0833,85.6667,Rahul Nayak jaintgarh
382,Kirillov,RU,60.91,broken clouds,59.863,38.3813,Rus Hotel
384,Springdale,US,89.55,scattered clouds,36.1867,-94.1288,Springdale Inn
387,Kulunda,RU,60.33,scattered clouds,52.566,78.9385,Kulunda 24
389,Lhokseumawe,ID,77.95,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
391,Sechura,PE,73.47,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
393,Rocha,UY,63.55,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
394,Yining,CN,72.55,overcast clouds,29.0361,114.5636,Xiushui Hotel
395,Sabang,ID,82.49,overcast clouds,5.8933,95.3214,Hotel Citra
396,Evanton,GB,67.66,overcast clouds,57.6638,-4.34,Assynt House
397,Amapa,BR,84.49,broken clouds,1.0,-52.0,
399,Bredy,RU,68.85,broken clouds,52.4153,60.3411,Individual'nyy Predprinimatel' Rakhmanin Andrey Aleksandrovich
400,Peniche,PT,72.45,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
401,Abu Samrah,SY,87.64,clear sky,35.3029,37.1841,
402,Mulanje,MW,64.4,clear sky,-16.0316,35.5,Mulanje Motel
405,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
406,Loubomo,CG,77.83,scattered clouds,-4.1997,12.6739,La Dolisienne
407,Marfino,RU,68.25,clear sky,55.7028,37.3822,Nemchinovka-Park
408,Glyadyanskoye,RU,63.45,broken clouds,54.9075,65.0883,
411,Alofi,NU,73.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
412,Predivinsk,RU,60.04,light rain,57.0669,93.4378,
413,Rio Grande,BR,75.31,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
414,Asfi,MA,71.08,clear sky,32.2994,-9.2372,Hôtel Abda
415,Mitsamiouli,KM,78.76,clear sky,-11.3847,43.2844,Foyer ADM
416,Fonte Boa,BR,83.89,broken clouds,-2.4959,-66.2662,
420,Karratha,AU,74.07,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
422,Maxixe,MZ,66.02,few clouds,-23.8597,35.3472,Oceano
423,Durban,ZA,60.03,scattered clouds,-29.8579,31.0292,Hilton Durban
426,Jackson,US,65.39,overcast clouds,42.4165,-122.8345,Agate Village Apartments
427,Chapleau,CA,73.49,scattered clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
428,Macau,MO,84.0,light rain,22.2006,113.5461,Grand Emperor Hotel
430,Chicama,PE,61.34,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
432,Sao Joao Da Barra,BR,77.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
433,Calabaca,PH,79.9,few clouds,14.3001,122.4336,Costa Pacifico Beach Resort
434,Ullapool,GB,66.34,overcast clouds,57.8987,-5.1604,Argyll Hotel
435,Presidencia Roque Saenz Pena,AR,77.11,overcast clouds,-26.7852,-60.4388,Hotel Gualok
