City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Atambua,ID,2022-06-10 21:44:33,-9.1061,124.8925,294.8,84,100,2.93
100,Tuktoyaktuk,CA,2022-06-10 21:44:34,69.4541,-133.0374,278.15,75,75,5.14
101,Los Llanos De Aridane,ES,2022-06-10 21:42:28,28.6585,-17.9182,292.66,91,0,7.2
102,Callaguip,PH,2022-06-10 21:44:13,18.0714,120.4867,298.16,88,75,1.54
103,Dingle,PH,2022-06-10 21:44:35,10.9995,122.6711,298.15,88,69,0.98
104,Fort Nelson,CA,2022-06-10 21:43:05,58.8053,-122.7002,284.92,94,100,2.06
105,Provideniya,RU,2022-06-10 21:44:36,64.3833,-173.3,282.5,36,100,2.51
106,Mount Gambier,AU,2022-06-10 21:44:36,-37.8333,140.7667,283.89,64,100,4.7
107,Bethel,US,2022-06-10 21:44:37,41.3712,-73.414,298.67,43,0,5.14
108,Acapulco,MX,2022-06-10 21:42:42,16.8634,-99.8901,304.05,66,40,5.66
109,Emerald,AU,2022-06-10 21:44:38,-23.5333,148.1667,281.29,67,25,4.35
110,San Patricio,US,2022-06-10 21:44:38,28.017,-97.5169,310.55,48,4,9.43
111,Guayaramerin,BO,2022-06-10 21:44:39,-10.8368,-65.3614,291.94,99,100,3.26
112,Valley Station,US,2022-06-10 21:44:39,38.1112,-85.8702,294.9,85,100,1.54
113,Taguatinga,BR,2022-06-10 21:44:40,-12.3857,-46.5711,298.4,29,5,1.2
114,Vila Franca Do Campo,PT,2022-06-10 21:42:55,37.7167,-25.4333,293.38,92,68,1.75
115,Padang,ID,2022-06-10 21:43:22,-0.9492,100.3543,297.29,91,96,0.92
116,Castro,BR,2022-06-10 21:44:40,-24.7911,-50.0119,285.34,96,99,1.85
117,Olga,RU,2022-06-10 21:44:41,43.7444,135.2892,284.42,85,88,1.2
118,Bani,DO,2022-06-10 21:44:41,18.2833,-70.3333,303.84,71,69,4.85
119,Karatau,KZ,2022-06-10 21:44:42,43.1667,70.4667,295.54,24,20,2.12
120,Thompson,CA,2022-06-10 21:44:42,55.7435,-97.8558,296.24,27,20,4.12
121,Broome,US,2022-06-10 21:44:43,42.2506,-75.833,296.32,48,75,4.63
122,Zhuhai,CN,2022-06-10 21:44:43,22.2769,113.5678,300.03,100,40,4.63
123,Alta Floresta,BR,2022-06-10 21:44:44,-9.8756,-56.0861,297.79,68,99,2.35
124,Retz,AT,2022-06-10 21:44:44,48.7494,15.9624,288.85,90,9,3.16
125,Mayumba,GA,2022-06-10 21:44:45,-3.432,10.6554,296.38,92,11,1.51
126,Kenai,US,2022-06-10 21:44:45,60.5544,-151.2583,292.61,57,20,4.63
127,Coihueco,CL,2022-06-10 21:44:46,-36.6167,-71.8333,287.56,55,0,2.06
128,Seoul,KR,2022-06-10 21:41:26,37.5683,126.9778,290.84,91,40,1.54
129,Nanakuli,US,2022-06-10 21:44:46,21.3906,-158.1547,302.12,50,0,5.66
130,Laguna,US,2022-06-10 21:44:47,38.421,-121.4238,312.67,23,0,5.14
131,Champua,IN,2022-06-10 21:44:47,22.0833,85.6667,302.12,50,79,1.68
132,Nizhniy Kuranakh,RU,2022-06-10 21:44:48,58.8353,125.4869,287.65,79,100,1.11
133,Punta Arenas,CL,2022-06-10 21:44:49,-53.15,-70.9167,282.21,71,40,6.17
134,Dicabisagan,PH,2022-06-10 21:44:49,17.0818,122.4157,299.56,82,98,2.45
135,Shache,CN,2022-06-10 21:44:50,38.4167,77.2406,296.88,23,85,3.74
136,Bawal,IN,2022-06-10 21:44:50,28.0833,76.5833,307.03,18,3,5.64
137,Flinders,AU,2022-06-10 21:45:51,-34.5833,150.8552,284.36,66,2,2.68
138,Geraldton,AU,2022-06-10 21:45:51,-28.7667,114.6,290.38,94,75,3.09
139,Namatanai,PG,2022-06-10 21:45:52,-3.6667,152.4333,300.34,71,5,3.44
140,Beringovskiy,RU,2022-06-10 21:45:52,63.05,179.3167,278.01,62,5,4.36
141,Dongning,CN,2022-06-10 21:45:53,44.0622,131.1207,287.92,92,56,0.6
142,Nantucket,US,2022-06-10 21:41:38,41.2835,-70.0995,296.21,83,0,6.69
143,Tshikapa,CD,2022-06-10 21:45:53,-6.4167,20.8,293.56,44,57,1.01
144,Starkville,US,2022-06-10 21:45:54,33.4504,-88.8184,297.84,90,75,3.09
145,Zhigansk,RU,2022-06-10 21:45:54,66.7697,123.3711,284.56,80,96,5.7
146,Krasnoarmeysk,RU,2022-06-10 21:45:55,51.0239,45.6969,290.24,66,25,4.08
147,Lethem,GY,2022-06-10 21:45:56,3.3803,-59.7968,302.18,79,20,5.14
148,Kerouane,GN,2022-06-10 21:45:56,9.2667,-9.0167,293.84,96,64,1.71
149,Clyde River,CA,2022-06-10 21:45:57,70.4692,-68.5914,274.28,93,100,4.12
150,College,US,2022-06-10 21:45:57,64.8569,-147.8028,287.63,50,100,2.57
151,Teknaf,BD,2022-06-10 21:45:57,20.8624,92.3058,299.42,86,100,4.15
152,Iquitos,PE,2022-06-10 21:45:58,-3.7481,-73.2472,298.17,88,75,1.54
153,Kapaa,US,2022-06-10 21:45:58,22.0752,-159.319,300.99,69,0,5.66
154,Vao,NC,2022-06-10 21:45:59,-22.6667,167.4833,295.7,80,97,7.91
155,Marilia,BR,2022-06-10 21:45:39,-22.2139,-49.9458,289.35,96,94,1.77
156,Puerto Escondido,MX,2022-06-10 21:46:00,15.85,-97.0667,301.33,81,98,4.82
157,Tabas,IR,2022-06-10 21:46:00,33.5959,56.9244,303.32,19,0,2.43
158,Carnarvon,AU,2022-06-10 21:46:01,-24.8667,113.6333,293.89,69,2,3.32
159,Ponta Delgada,PT,2022-06-10 21:46:01,37.7333,-25.6667,293.55,83,75,2.57
160,Plettenberg Bay,ZA,2022-06-10 21:46:02,-34.0527,23.3716,291.2,40,2,3.81
161,Zhanaozen,KZ,2022-06-10 21:46:03,43.3,52.8,293.48,40,50,4.16
162,Smirnykh,RU,2022-06-10 21:46:04,49.75,142.8333,278.52,97,100,1.36
163,Sulangan,PH,2022-06-10 21:46:05,11.1373,123.7228,301.59,74,90,5.01
164,Kremenchuk,UA,2022-06-10 21:46:05,49.0973,33.4197,291.28,64,47,2.81
165,Kamaishi,JP,2022-06-10 21:46:06,39.2667,141.8833,290.18,86,100,0.97
166,Torbay,CA,2022-06-10 21:46:07,47.6666,-52.7314,288.86,94,100,7.72
167,Tigil,RU,2022-06-10 21:44:43,57.8,158.6667,283.24,54,100,4.43
168,Villarrica,PY,2022-06-10 21:46:08,-25.75,-56.4333,285.99,76,100,3.79
